Product ID,Order ID,Order Date,Promised Delivery Date,Actual Delivery Date,On-Time Delivery,Order Cycle Time,Status,Return Reason,Product Category,Quantity Ordered,Unit Price,Total Cost,Cost of Goods Sold (COGS),Shipping Cost,Region,City,Supplier,Warehouse,Inventory on Hand,Inventory Turnover,Safety Stock,Order_Priority,Lead_Time,Unit Cost
P7912,NOR-00001,2024-11-10,2024-11-14,2024-11-12,Yes,2,Pending,No Issues Reported,Apparel,95,55.74,5295.3,3961.59,31.81,North America,Toronto,Supplier B,Warehouse 1,66,1.81,47,Medium,12,55.74
P5552,EUR-00002,2023-01-31,2023-02-06,2023-02-10,No,10,In Transit,No Issues Reported,Home Goods,1,380.61,380.61,240.52,26.9,Europe,Rome,Supplier A,Warehouse 2,129,3.76,63,Low,7,380.61
P7201,EUR-00003,2023-12-30,2024-01-08,2024-01-07,Yes,8,Pending,No Issues Reported,Home Goods,6,366.22,2197.32,1554.04,48.92,Europe,Rome,Supplier E,Warehouse 6,90,7.3,100,Medium,3,366.22
P8428,ASI-00004,2023-03-18,2023-03-24,2023-03-23,Yes,5,Delivered,No Issues Reported,Home Goods,11,428.38,4712.18,3643.91,25.21,Asia,Shanghai,Supplier C,Warehouse 6,375,10.26,40,Medium,7,428.38000000000005
P4598,ASI-00005,2023-01-06,2023-01-12,2023-01-14,No,8,Delivered,No Issues Reported,Groceries,94,126.18,11860.92,8213.12,20.8,Asia,Shanghai,Supplier B,Warehouse 1,400,4.9,27,High,12,126.18
P8517,NOR-00006,2024-09-20,2024-09-28,2024-10-02,No,12,Pending,No Issues Reported,Groceries,92,160.77,14790.84,10813.4,25.83,North America,Toronto,Supplier F,Warehouse 5,123,4.28,51,High,14,160.77
P3621,NOR-00007,2024-05-29,2024-06-07,2024-06-11,No,13,Pending,No Issues Reported,Groceries,64,50.0,3200.0,1950.15,14.39,North America,Toronto,Supplier A,Warehouse 7,455,8.65,96,High,8,50.0
P6573,ASI-00008,2023-07-06,2023-07-15,2023-07-20,No,14,Pending,No Issues Reported,Electronics,88,442.97,38981.36,29242.86,40.74,Asia,Tokyo,Supplier D,Warehouse 1,107,4.58,40,Low,10,442.97
P9689,ASI-00009,2024-09-30,2024-10-07,2024-10-07,Yes,7,Delivered,No Issues Reported,Groceries,78,103.46,8069.88,5445.42,16.46,Asia,Mumbai,Supplier A,Warehouse 2,50,7.79,82,Medium,6,103.46000000000001
P9727,NOR-00010,2023-04-27,2023-05-05,2023-05-07,No,10,In Transit,No Issues Reported,Groceries,11,47.4,521.4,363.52,12.77,North America,Toronto,Supplier E,Warehouse 3,442,2.82,80,Medium,10,47.4
